Test Case, Status, error
test_02_multiple_core_vm_migrate_instance, FAILED, Failed to migrate instance: Job failed: {jobprocstatus : 0, created : u'2014-10-05T08:02:18+0000', cmd : u'org.apache.cloudstack.api.command.admin.vm.MigrateVMCmd', userid : u'a9a6ec30-4c42-11e4-a34a-b69747f5d0e3', jobstatus : 2, jobid : u'0c6d7131-8008-4bf8-a781-8bd7859afaa2', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'Job failed due to exception Unable to complete migration for VM[User|i-186-225-VM]'}, accountid : u'a9a6e000-4c42-11e4-a34a-b69747f5d0e3'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=cpu_domain_limits
test_03_multiple_core_vm_delete_instance, PASSED, None
test_04_deploy_multiple_vm_with_multiple_core, FAILED, Failed to migrate instance: Job failed: {jobprocstatus : 0, created : u'2014-10-05T08:13:54+0000', cmd : u'org.apache.cloudstack.api.command.admin.vm.MigrateVMCmd', userid : u'a9a6ec30-4c42-11e4-a34a-b69747f5d0e3', jobstatus : 2, jobid : u'3ac085da-6b23-4894-8d12-e557825e12b1', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'Job failed due to exception Unable to complete migration for VM[User|i-202-249-VM]'}, accountid : u'a9a6e000-4c42-11e4-a34a-b69747f5d0e3'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=cpu_domain_limits
test_01_multiple_child_domains, PASSED, None
test_01_multiplecore_start_stop_instance, PASSED, None
test_02_multiplecore_migrate_instance, FAILED, Failed to migrate instance: Job failed: {jobprocstatus : 0, created : u'2014-10-05T07:38:30+0000', cmd : u'org.apache.cloudstack.api.command.admin.vm.MigrateVMCmd', userid : u'a9a6ec30-4c42-11e4-a34a-b69747f5d0e3', jobstatus : 2, jobid : u'5d22ce13-a85d-4301-81e2-be0148754d23', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'Job failed due to exception Unable to complete migration for VM[User|i-166-196-VM]'}, accountid : u'a9a6e000-4c42-11e4-a34a-b69747f5d0e3'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=cpu_limits
test_03_multiplecore_delete_instance, PASSED, None
test_04_deploy_multiple_vm_with_multiple_cpus, FIXED, None
test_01_stop_start_instance, PASSED, None
test_02_migrate_instance, FAILED, Failed to migrate instance: Job failed: {jobprocstatus : 0, created : u'2014-10-05T07:52:51+0000', cmd : u'org.apache.cloudstack.api.command.admin.vm.MigrateVMCmd', userid : u'a9a6ec30-4c42-11e4-a34a-b69747f5d0e3', jobstatus : 2, jobid : u'49c27d73-6460-4c76-ab23-9c352e943dfc', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'Job failed due to exception Unable to complete migration for VM[User|i-172-213-VM]'}, accountid : u'a9a6e000-4c42-11e4-a34a-b69747f5d0e3'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=cpu_limits
test_03_delete_instance, PASSED, None
test_04_deploy_multiple_vm_with_multiple_cpus, SKIPPED, None
test_01_deploy_vm_domain_limit_reached, FIXED, None
test_02_deploy_vm_account_limit_reached, FIXED, None
test_03_deploy_vm_project_limit_reached, FIXED, None
test_04_deployVm__account_limit_reached, PASSED, None
test_01_project_counts_start_stop_instance, PASSED, None
test_02_project_counts_migrate_instance, FAILED, Failed to migrate instance: Job failed: {jobprocstatus : 0, created : u'2014-10-05T08:10:40+0000', cmd : u'org.apache.cloudstack.api.command.admin.vm.MigrateVMCmd', userid : u'a9a6ec30-4c42-11e4-a34a-b69747f5d0e3', jobstatus : 2, jobid : u'60a954af-9c21-4532-9ae1-2b4378566fb0', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'Job failed due to exception Unable to complete migration for VM[User|i-200-241-VM]'}, accountid : u'a9a6e000-4c42-11e4-a34a-b69747f5d0e3'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=cpu_project_limits
test_03_project_counts_delete_instance, PASSED, None
test_01_custom_hostname_instancename_false, SKIPPED, None
ContextSuite context=TestInstanceNameFlagTrue>:setup, SKIPPED, None
test_01_dedicate_guest_vlan_range_root_domain, PASSED, None
test_02_dedicate_guest_vlan_range_user_domain, PASSED, None
test_03_multiple_guest_netwoks, PASSED, None
test_04_dedicate_guest_vlan_in_project, FAILED, Vlan of the network should be from the dedicated range   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=dedicate_guest_vla
test_05_dedicate_range_different_accounts, PASSED, None
test_07_extend_vlan_range, PASSED, None
test_01_delete_dedicated_vlan_range, PASSED, None
test_02_delete_dedicated_vlan_range_vlan_in_use, PASSED, None
test_03_delete_account, PASSED, None
test_04_release_range_no_vlan_in_use, PASSED, None
test_05_release_range_vlan_in_use, FAILED, int() argument must be a string or a number, not 'NoneType'   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=dedicate_guest_vla
test_01_dedicate_wrong_vlan_range, PASSED, None
test_02_dedicate_vlan_range_invalid_account, PASSED, None
test_03_dedicate_already_dedicated_range, PASSED, None
ContextSuite context=TestvGPUWindowsVm>:setup, SKIPPED, None
test_deployvm_userdata_post, PASSED, None
test_max_account_cpus_deploy_VM_1_ADMIN_ACCOUNT, PASSED, None
test_max_account_cpus_deploy_VM_2_USER_ACCOUNT, PASSED, None
test_max_account_cpus_scale_VM_1_ADMIN_ACCOUNT, PASSED, None
test_max_account_cpus_scale_VM_2_USER_ACCOUNT, PASSED, None
test_max_account_memory_deploy_VM_1_ADMIN_ACCOUNT, PASSED, None
test_max_account_memory_deploy_VM_2_USER_ACCOUNT, PASSED, None
test_max_account_memory_scale_VM_1_ADMIN_ACCOUNT, PASSED, None
test_max_account_memory_scale_VM_2_USER_ACCOUNT, PASSED, None
test_deploy_VM_with_affinity_group_1_ADMIN_ACCOUNT, PASSED, None
test_deploy_VM_with_affinity_group_2_USER_ACCOUNT, PASSED, None
test_check_vm_stats_1_ADMIN_ACCOUNT, PASSED, None
test_check_vm_stats_2_USER_ACCOUNT, PASSED, None
test_create_dynamic_compute_offering, PASSED, None
test_create_dynamic_compute_offering_no_cpunumber, PASSED, None
test_create_dynamic_compute_offering_no_cpuspeed, PASSED, None
test_create_dynamic_compute_offering_no_memory, PASSED, None
test_create_normal_compute_offering, PASSED, None
test_deploy_virtual_machines_dynamic_offering_1_ADMIN_ACCOUNT, PASSED, None
test_deploy_virtual_machines_dynamic_offering_2_USER_ACCOUNT, PASSED, None
test_deploy_virtual_machines_static_offering_1_ADMIN_ACCOUNT, PASSED, None
test_deploy_virtual_machines_static_offering_2_USER_ACCOUNT, PASSED, None
test_change_so_running_vm_dynamic_to_dynamic_1_ADMIN_ACCOUNT, FAILED, Failure while changing service offering: Job failed: {jobprocstatus : 0, created : u'2014-10-05T08:56:27+0000', cmd : u'org.apache.cloudstack.api.command.user.vm.ScaleVMCmd', userid : u'ec124eca-48ee-4d90-a995-81c10da6e577', jobstatus : 2, jobid : u'104c007c-91ed-4813-8b3d-d1db6e7b8b7f', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'This operation not permitted for this hypervisor of the vm'}, accountid : u'c3115f01-606e-458c-80cd-c0a4fb49b66f'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=dynamic_compute_of
test_change_so_running_vm_dynamic_to_dynamic_2_USER_ACCOUNT, FAILED, Failure while changing service offering: Job failed: {jobprocstatus : 0, created : u'2014-10-05T09:00:25+0000', cmd : u'org.apache.cloudstack.api.command.user.vm.ScaleVMCmd', userid : u'4110ae5c-6bf6-4a32-a08c-fbac4483d86b', jobstatus : 2, jobid : u'20418403-0c24-434d-86e0-9f8eb976a172', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'This operation not permitted for this hypervisor of the vm'}, accountid : u'ccf0d517-ca9b-4652-b22d-b44c310497ef'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=dynamic_compute_of
test_change_so_running_vm_dynamic_to_static_1_ADMIN_ACCOUNT, FAILED, Failure while changing service offering: Job failed: {jobprocstatus : 0, created : u'2014-10-05T09:04:13+0000', cmd : u'org.apache.cloudstack.api.command.user.vm.ScaleVMCmd', userid : u'2271e651-8ffd-4ce5-a606-4c7ea0a5f54b', jobstatus : 2, jobid : u'0ff70d18-0f66-4fdf-9bcc-e32f6398bdcf', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'This operation not permitted for this hypervisor of the vm'}, accountid : u'75d05e30-9eec-42d5-a702-d3e929bc1a8b'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=dynamic_compute_of
test_change_so_running_vm_dynamic_to_static_2_USER_ACCOUNT, FAILED, Failure while changing service offering: Job failed: {jobprocstatus : 0, created : u'2014-10-05T09:08:31+0000', cmd : u'org.apache.cloudstack.api.command.user.vm.ScaleVMCmd', userid : u'247b1ee9-b205-4b83-874e-a41702afc359', jobstatus : 2, jobid : u'7da660f6-8488-4dd0-ad61-28b158f00a9f', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'This operation not permitted for this hypervisor of the vm'}, accountid : u'1658be58-dfa4-4678-8aba-657fe817200d'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=dynamic_compute_of
test_change_so_running_vm_static_to_dynamic_1_ADMIN_ACCOUNT, FAILED, Failure while changing service offering: Job failed: {jobprocstatus : 0, created : u'2014-10-05T09:11:58+0000', cmd : u'org.apache.cloudstack.api.command.user.vm.ScaleVMCmd', userid : u'e3f7ebba-b05b-4de5-a238-1ee388d83cbf', jobstatus : 2, jobid : u'2f5f434c-024a-487f-99a5-fa7f2fd41017', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'This operation not permitted for this hypervisor of the vm'}, accountid : u'a37a2634-baad-47f8-9a7c-4bc89407c417'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=dynamic_compute_of
test_change_so_running_vm_static_to_dynamic_2_USER_ACCOUNT, FAILED, Failure while changing service offering: Job failed: {jobprocstatus : 0, created : u'2014-10-05T09:15:41+0000', cmd : u'org.apache.cloudstack.api.command.user.vm.ScaleVMCmd', userid : u'700e8835-6101-42e9-b947-ea4d482c66b8', jobstatus : 2, jobid : u'01c59772-5e70-4b42-9159-18f37b988ea1', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'This operation not permitted for this hypervisor of the vm'}, accountid : u'c69c4b84-fb64-47ad-883d-9e6da875bb10'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=dynamic_compute_of
test_change_so_running_vm_static_to_static_1_ADMIN_ACCOUNT, FAILED, Failure while changing service offering: Job failed: {jobprocstatus : 0, created : u'2014-10-05T09:18:48+0000', cmd : u'org.apache.cloudstack.api.command.user.vm.ScaleVMCmd', userid : u'e10b6696-5da8-4256-ad74-22dbf283cc39', jobstatus : 2, jobid : u'e189c481-f384-4615-b348-adf80cc950c6', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'This operation not permitted for this hypervisor of the vm'}, accountid : u'17961ea7-9476-4949-9bde-966e3005ef25'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=dynamic_compute_of
test_change_so_running_vm_static_to_static_2_USER_ACCOUNT, FAILED, Failure while changing service offering: Job failed: {jobprocstatus : 0, created : u'2014-10-05T09:22:31+0000', cmd : u'org.apache.cloudstack.api.command.user.vm.ScaleVMCmd', userid : u'64a15154-7c80-4312-ba9e-c6f83144e3f6', jobstatus : 2, jobid : u'fbde1147-354d-49b4-88c7-1b2674afb2f9', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'This operation not permitted for this hypervisor of the vm'}, accountid : u'1e68a74f-1f76-4cc7-a4de-80a33fba8262'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=dynamic_compute_of
test_change_so_stopped_vm_dynamic_to_dynamic_1_ADMIN_ACCOUNT, PASSED, None
test_change_so_stopped_vm_dynamic_to_dynamic_2_USER_ACCOUNT, PASSED, None
test_change_so_stopped_vm_dynamic_to_static_1_ADMIN_ACCOUNT, PASSED, None
test_change_so_stopped_vm_dynamic_to_static_2_USER_ACCOUNT, PASSED, None
test_change_so_stopped_vm_static_to_dynamic_1_ADMIN_ACCOUNT, PASSED, None
test_change_so_stopped_vm_static_to_dynamic_2_USER_ACCOUNT, PASSED, None
test_change_so_stopped_vm_static_to_static_1_ADMIN_ACCOUNT, PASSED, None
test_change_so_stopped_vm_static_to_static_2_USER_ACCOUNT, PASSED, None
test_01_1_egress_fr1, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_01_egress_fr1, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_02_1_egress_fr2, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_02_egress_fr2, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_03_1_egress_fr3, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_03_egress_fr3, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_04_1_egress_fr4, PASSED, None
test_04_egress_fr4, PASSED, None
test_05_1_egress_fr5, SKIPPED, None
test_05_egress_fr5, SKIPPED, None
test_06_1_egress_fr6, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_06_egress_fr6, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_07_1_egress_fr7, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_07_egress_fr7, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_08_1_egress_fr8, SKIPPED, None
test_08_egress_fr8, SKIPPED, None
test_09_1_egress_fr9, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_09_egress_fr9, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_10_1_egress_fr10, PASSED, None
test_10_egress_fr10, PASSED, None
test_11_1_egress_fr11, PASSED, None
test_11_egress_fr11, PASSED, None
test_12_1_egress_fr12, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_12_egress_fr12, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_13_1_egress_fr13, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_13_egress_fr13, FAILED, SSH connection has Failed. Waited 600s. Error is SSH Connection Failed   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=egress_fw_rules
test_13_attach_detach_iso, FAILED, Job failed: {jobprocstatus : 0, created : u'2014-10-05T05:53:53+0000', cmd : u'org.apache.cloudstack.api.command.user.iso.AttachIsoCmd', userid : u'a77e923f-0c68-4123-8ddd-06f16bd34b87', jobstatus : 2, jobid : u'5d950283-8faa-4ea1-bb6b-8a880955b1c1', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'Cannot attach Xenserver PV drivers to incompatible hypervisor Hyperv'}, accountid : u'a9bedd82-bf47-4685-b504-ac4de71bcdd7'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=escalations_instan
test_14_vm_snapshot_pagination, FAILED, Execute cmd: createvmsnapshot failed, due to: errorCode: 530, errorText:Internal error executing command, please contact your system administrator   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=escalations_instan
test_15_revert_vm_to_snapshot, FAILED, Execute cmd: createvmsnapshot failed, due to: errorCode: 530, errorText:Internal error executing command, please contact your system administrator   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=escalations_instan
test_16_list_vm_volumes_pagination, PASSED, None
test_17_running_vm_scaleup, PASSED, None
test_18_stopped_vm_change_service, PASSED, None
test_19_create_reset_vm_sshkey, PASSED, None
test_20_update_vm_displayname_group, PASSED, None
test_21_restore_vm, PASSED, None
test_22_deploy_vm_multiple_networks, PASSED, None
test_24_deploy_vm_with_static_ip_ES1662, PASSED, None
test_25_ip_reallocation_ES1377, PASSED, None
test_01_list_instances_pagination, PASSED, None
test_02_list_Running_vm, PASSED, None
test_03_list_Stopped_vm, PASSED, None
test_04_list_Destroyed_vm, PASSED, None
test_05_list_vm_by_id, PASSED, None
test_06_list_vm_by_name, PASSED, None
test_07_list_vm_by_name_state, PASSED, None
test_08_list_vm_by_zone, PASSED, None
test_09_list_vm_by_zone_name, PASSED, None
test_10_list_vm_by_zone_name_state, PASSED, None
test_11_register_reset_vm_sshkey, PASSED, None
test_12_vm_nics, FAILED, Job failed: {jobprocstatus : 0, created : u'2014-10-05T06:25:57+0000', cmd : u'org.apache.cloudstack.api.command.user.vm.AddNicToVMCmd', userid : u'139d7cd3-6dc3-4afe-9543-d155814995ca', jobstatus : 2, jobid : u'726c9b05-d5c1-4d52-8fda-4c485a11bbfb', jobresultcode : 530, jobresulttype : u'object', jobresult : {errorcode : 530, errortext : u'Unexpected job execution result'}, accountid : u'2ae7ea2e-1d48-4aaa-8d36-abfc21f0a05e'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=escalations_instan
test_01_list_ipaddresses_pagination, PASSED, None
test_02_list_ipaddresses_byid, PASSED, None
test_03_associate_ipaddress_for_vpc, FAILED, Job failed: {jobprocstatus : 0, created : u'2014-10-05T08:18:46+0000', jobresult : {errorcode : 530, errortext : u'Failed to create VPC'}, cmd : u'org.apache.cloudstack.api.command.user.vpc.CreateVPCCmd', userid : u'05512f3d-3e82-4c4e-a4a9-942045b1f478', jobstatus : 2, jobid : u'c00a1b73-13da-4e91-9375-5047dc694475', jobresultcode : 530, jobresulttype : u'object', jobinstancetype : u'None', accountid : u'bcb52c88-9545-41b8-baa5-11757e3523c0'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=escalations_ipaddr
test_04_create_delete_lbrule_fornonvpc, PASSED, None
test_05_create_delete_lbrule_forvpc, FAILED, Job failed: {jobprocstatus : 0, created : u'2014-10-05T08:19:19+0000', jobresult : {errorcode : 530, errortext : u'Failed to create VPC'}, cmd : u'org.apache.cloudstack.api.command.user.vpc.CreateVPCCmd', userid : u'ee02e1f8-bcc7-41fb-b4c7-dca893a6a004', jobstatus : 2, jobid : u'd0949868-b0aa-4117-9b8b-e0ca1fbc3825', jobresultcode : 530, jobresulttype : u'object', jobinstancetype : u'None', accountid : u'1e86232e-b972-4cd5-b18c-ab9935f46973'}   Logs available at http://xenrt.hq.xensource.com/control/queue.cgi?action=testlogs&id=853936&phase=Parallel&test=escalations_ipaddr
test_06_update_lbrule_name, PASSED, None
test_07_assign_remove_lbrule_toinstance, PASSED, None
test_08_list_create_delete_lbsticky_policy, PASSED, None
test_09_create_delete_portforwarding_fornonvpc, PASSED, None
